message,attributes,tags,timestamp
"DF6WpjKe7UeFi6G1AAAE: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.250941109Z
"2026-01-14 09:56:01,248 - engineio.server - INFO - DF6WpjKe7UeFi6G1AAAE: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.250943799Z
"GNoCOjMqtg8KZ2HgAAAG: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.250946299Z
"2026-01-14 09:56:01,248 - engineio.server - INFO - GNoCOjMqtg8KZ2HgAAAG: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.250949099Z
"4JuRgac8KM3vzjCMAAAK: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.250951369Z
"2026-01-14 09:56:01,248 - engineio.server - INFO - 4JuRgac8KM3vzjCMAAAK: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.251734430Z
"fjknx3vAAg9mMVKqAAAO: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.251739930Z
"2026-01-14 09:56:01,248 - engineio.server - INFO - fjknx3vAAg9mMVKqAAAO: Sending packet MESSAGE data 2[""live_positions_all"",{""positions"":[{""position_id"":3181,""recorder_id"":2,""recorder_name"":""JADVIX"",""ticker"":""MNQ1!"",""side"":""LONG"",""quantity"":3,""entry_price"":25860.916,""current_price"":25854.5,""unrealized_pnl"":-38.5,""pnl_ticks"":-25.66,""drawdown"":65.5,""max_favorable"":0}],""count"":1,""timestamp"":1768384561.2477705}]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:01.251743580Z
"emitting event ""live_positions_all"" to all [/]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:02.382063552Z
"2026-01-14 09:56:02,376 - socketio.server - INFO - emitting event ""live_positions_all"" to all [/]","{""level"":""error""}","{""project"":""795a342c-3b36-4c34-bf80-a54be509391e"",""environment"":""d7f0fe2b-1fe3-4ff1-9104-6cc5362de501"",""service"":""de95218c-21bd-41f3-9ca1-5591e824f228"",""deployment"":""f2e4284a-1d59-4a77-8962-817a2238e89e"",""replica"":""02a7dbd9-680a-455c-be23-5c01cf313c1b""}",2026-01-14T09:56:02.382069612Z
